kodu,lõppseis,võõras,aasta,koduväravad,võõraväravad
JK Tallinna Kalev,0 - 3,Paide Linnameeskond,2019,0.0,3.0
FC Kuressaare,1 - 0,Viljandi JK Tulevik,2019,1.0,0.0
Viljandi JK Tulevik,1 - 1,JK Narva Trans,2019,1.0,1.0
JK Tallinna Kalev,3 - 0,FC Kuressaare,2019,3.0,0.0
Maardu Linnameeskond,2 - 1,Tartu JK Tammeka,2019,2.0,1.0
Paide Linnameeskond,0 - 2,Nõmme Kalju FC,2019,0.0,2.0
Tallinna FC Flora,1 - 3,Tallinna FCI Levadia,2019,1.0,3.0
JK Narva Trans,2 - 2,JK Tallinna Kalev,2019,2.0,2.0
Nõmme Kalju FC,6 - 0,Maardu Linnameeskond,2019,6.0,0.0
Tartu JK Tammeka,0 - 1,Viljandi JK Tulevik,2019,0.0,1.0
FC Kuressaare,0 - 4,Tallinna FC Flora,2019,0.0,4.0
Tallinna FCI Levadia,1 - 1,Paide Linnameeskond,2019,1.0,1.0
JK Tallinna Kalev,1 - 6,Tallinna FCI Levadia,2019,1.0,6.0
Paide Linnameeskond,6 - 0,Viljandi JK Tulevik,2019,6.0,0.0
Maardu Linnameeskond,3 - 8,Tallinna FC Flora,2019,3.0,8.0
Nõmme Kalju FC,3 - 2,JK Narva Trans,2019,3.0,2.0
FC Kuressaare,1 - 1,Tartu JK Tammeka,2019,1.0,1.0
Viljandi JK Tulevik,2 - 0,Maardu Linnameeskond,2019,2.0,0.0
Tartu JK Tammeka,2 - 0,JK Tallinna Kalev,2019,2.0,0.0
Tallinna FC Flora,0 - 1,Nõmme Kalju FC,2019,0.0,1.0
Paide Linnameeskond,7 - 0,FC Kuressaare,2019,7.0,0.0
Tallinna FCI Levadia,2 - 0,JK Narva Trans,2019,2.0,0.0
JK Tallinna Kalev,0 - 2,Tallinna FC Flora,2019,0.0,2.0
Tallinna FCI Levadia,5 - 0,FC Kuressaare,2019,5.0,0.0
Nõmme Kalju FC,2 - 1,Viljandi JK Tulevik,2019,2.0,1.0
Maardu Linnameeskond,1 - 4,Paide Linnameeskond,2019,1.0,4.0
JK Narva Trans,2 - 5,Tartu JK Tammeka,2019,2.0,5.0
Tartu JK Tammeka,0 - 0,Nõmme Kalju FC,2019,0.0,0.0
Maardu Linnameeskond,1 - 6,Tallinna FCI Levadia,2019,1.0,6.0
FC Kuressaare,1 - 1,JK Narva Trans,2019,1.0,1.0
Tallinna FC Flora,4 - 1,Paide Linnameeskond,2019,4.0,1.0
Viljandi JK Tulevik,1 - 2,JK Tallinna Kalev,2019,1.0,2.0
Paide Linnameeskond,6 - 1,FC Kuressaare,2019,6.0,1.0
JK Narva Trans,1 - 1,Nõmme Kalju FC,2019,1.0,1.0
Tallinna FCI Levadia,1 - 2,Tallinna FC Flora,2019,1.0,2.0
Viljandi JK Tulevik,0 - 1,Tartu JK Tammeka,2019,0.0,1.0
JK Tallinna Kalev,1 - 4,Maardu Linnameeskond,2019,1.0,4.0
